Column1,Column2,Column3,Column4,Column5,ids_row
"11. здание столовая на 108 мест, лит. т пансионата ""светлячок"" по адресу: камчатский край, елизовский район, с. паратунка, п. светлячок(24-03-01-01-00-014 (груп.))",2174.15,2019.0,"Текущий ремонт зданий, сооружений",125.0,24-03-01-01-00-014
"12.здание столовая на 108 мест, лит. т (24-03-01-01-00-014 (груп.)) пансионата ""светлячок"" по адресу: камчатский край, елизовский район, с. паратунка, п. светлячок ",2284.15,2020.0,"Текущий ремонт зданий, сооружений",125.0,24-03-01-01-00-014
"10. здание административно-хозяйственный корпус итм го, лит. у по адресу: камчатский край, елизовский район, с. паратунка, п. светлячок (24-03-01-01-00-015(груп.)",238.7,2019.0,"Текущий ремонт зданий, сооружений",126.0,24-03-01-01-00-015
"реконструкция   объекта  ""сооружение  скважина холодной воды"", расположенного  по адресу: камчатский край, елизовский район, с паратунка, пансионат  ""светлячок""",22388.3,2017.0,Капитальное строительство,131.0,
"реконструкция объекта: ""сооружение скважина холодной воды"", расположенного по адресу: камчатский край, елизовский район, с. паратунка, пансионат ""светлячок""",28663.48,2018.0,Капитальное строительство,131.0,
"капитальный ремонт фасада здания комбинированного овощехранилища на 40 тн., расположенного по адресу: камчатский край, елизовский  район, с. паратунка, пансионат ""светлячок""",649.0,2018.0,Капитальный ремонт,134.0,
"15.здание спальный корпус №1 итм го, лит. м по адресу: камчатский край, елизовский район, с. паратунка, п. светлячок (24-03-01-01-00-027 (груп.)) ",0.0,2019.0,"Текущий ремонт зданий, сооружений",138.0,24-03-01-01-00-027
"капитальный ремонт здания «спальный корпус № 2 итм го», расположенного по адресу: камчатский край, елизовский район, с. паратунка, пансионат «светлячок»",13845.31,2019.0,Капитальный ремонт,139.0,
"капитальный ремонт здания спального корпуса № 3 итм го, расположенного по адресу: камчатский край, елизовский район, с. паратунка, пансионат ""светлячок""",12125.86,2017.0,Капитальный ремонт,140.0,
"14. силовые электросети зпу по адресу: камчатский край, елизовский район, с. паратунка, п. светлячок",0.0,2019.0,"Текущий ремонт зданий, сооружений",142.0,
"14.благоустройство территории пансионата ""светлячок"" по адресу: камчатский край, елизовский район, с. паратунка, п. светлячок",668.25,2020.0,"Текущий ремонт зданий, сооружений",150.0,
"12. здание проходной, лит. ю по адресу: камчатский край, елизовский район, с. паратунка, п. светлячок",352.36,2019.0,"Текущий ремонт зданий, сооружений",152.0,
"13. здание проходной, лит. э по адресу: камчатский край, елизовский район, с. паратунка, п. Светлячок",359.79,2019.0,"Текущий ремонт зданий, сооружений",152.0,
"реконструкция объекта ""сооружение ливневая канализация и водоотводные лотки"" , расположенного  по адресу: камчатский край, елизовский район, с. паратунка, пансионат ""светлячок""",9634.24,2019.0,Капитальное строительство,154.0,
"гараж центрального банка российской федерации (банка россии), 685000, магаданская обл, г магадан, ул пушкина, д 6, 37-05-01-00-00-002",195.1,2020.0,"Текущий ремонт зданий, сооружений",158.0,37-05-01-00-00-002
"«административное здание, по адресу: российская федерация, магаданская область, муниципальное образование ""город магадан"", город магадан, ул. пушкина, здание 4, (37-01-01-00-01-001(комп.)). работы по демонтажу, монтажу и восстановлению итсо при проведении работ по текущему ремонту.",160.3,2023.0,"Текущий ремонт зданий, сооружений",177.0,37-01-01-00-01-001
"«административное здание, по адресу: российская федерация, магаданская область, муниципальное образование ""город магадан"", город магадан, ул. пушкина, здание 4, (37-01-01-00-01-001(комп.)). работы по разблокировке эвакуационных выходов.",40.58,2023.0,"Текущий ремонт зданий, сооружений",177.0,37-01-01-00-01-001
"административное здание центрального банка российской федерации (банка россии) по адресу: российская федерация, магаданская область, муниципальное образование «город магадан», город магадан, улица пушкина, здание 4 (37-01-01-00-01-001(комп.))",1673.67,2023.0,"Текущий ремонт зданий, сооружений",177.0,37-01-01-00-01-001
"22. гараж; магаданская обл., тенькинский р-н, п. усть-омчуг, ул. горняцкая, 44 а (37-05-01-00-03-040(комп.))",237.8,2020.0,"Текущий ремонт зданий, сооружений",184.0,37-05-01-00-03-040
"1. здание (лит. а), г.владивосток, океанский пр., 34 (51-01-01-00-00-005)",930.02,2022.0,"Текущий ремонт зданий, сооружений",185.0,51-01-01-00-00-005
"2.здание (лит.а), г.владивосток, океанский пр.,34 (51-01-01-00-00-005) ",3191.46,2020.0,"Текущий ремонт зданий, сооружений",185.0,51-01-01-00-00-005
"3. здание - центральный банк российской федерации (банк россии), (лит.а), г.владивосток, океанский пр.,34 (51-01-01-00-00-005) ",1993.03,2019.0,"Текущий ремонт зданий, сооружений",185.0,51-01-01-00-00-005
"здание (лит.а), г.владивосток, океанский пр.,34 (51-01-01-00-00-005) - восстановление части фасада.",12.5,2023.0,"Текущий ремонт зданий, сооружений",185.0,51-01-01-00-00-005
"здание (лит.а), г.владивосток, океанский пр.,34 (51-01-01-00-00-005) - ремонт помещений",4306.31,2023.0,"Текущий ремонт зданий, сооружений",185.0,51-01-01-00-00-005
"здание (лит.а), г.владивосток, океанский пр.,34 (51-01-01-00-00-005) - ремонт помещения",81.55,2023.0,"Текущий ремонт зданий, сооружений",185.0,51-01-01-00-00-005
"здание (лит.а), г.владивосток, океанский пр.,34 (51-01-01-00-00-005) - ремонт фасада",499.3,2021.0,"Текущий ремонт зданий, сооружений",185.0,51-01-01-00-00-005
"5. нежилые помещения в здании (лит.а); номера на поэтажном плане: 25, 30-38 (iii) г. владивосток, ул. светланская, 73 (51-01-01-00-00-006)",36.14,2019.0,"Текущий ремонт зданий, сооружений",186.0,51-01-01-00-00-006
" ркц,ркц(пристройка), приморский край, уссурийский городской округ, город уссурийск, улица некрасова, здание № 102 (51-01-01-00-00-011)",853.86,2023.0,"Текущий ремонт зданий, сооружений",190.0,51-01-01-00-00-011
"11.ркц, приморский край, г. уссурийск, ул. некрасова, 102 (51-01-01-00-00-011)",0.0,2022.0,"Текущий ремонт зданий, сооружений",190.0,51-01-01-00-00-011
"6,ркц, приморский край; г.уссурийск, ул.некрасова,102 (51-01-01-00-00-011)",83.8,2020.0,"Текущий ремонт зданий, сооружений",190.0,51-01-01-00-00-011
"9. здание - административное (лит. а, а1, а2), приморский край; г.уссурийск, ул.некрасова,102 (51-01-01-00-00-011)",790.6,2019.0,"Текущий ремонт зданий, сооружений",190.0,51-01-01-00-00-011
"10. одноэтажное здание (лит.б, гараж ркц на 10 автомобилей), приморский край, г. уссурийск, ул. некрасова, 102 (51-05-01-00-00-016)",1785.3,2019.0,"Текущий ремонт зданий, сооружений",193.0,51-05-01-00-00-016
"8. гараж ркц на 10 автомобилей, приморский край, г. уссурийск, ул. некрасова, 102 (51-05-01-00-00-016)",180.58,2020.0,"Текущий ремонт зданий, сооружений",193.0,51-05-01-00-00-016
"8. здание банка приморский край, партизанский р-н, с владимиро-александровское, ул.седова, 23 (51-01-02-00-00-022)",0.0,2019.0,"Текущий ремонт зданий, сооружений",196.0,51-01-02-00-00-022
"расчетно-кассовый центр первомайский г. владивосток гу банка россии по приморскому краю с пристройками, приморский край, г. владивосток, калинина, 261 (51-01-01-00-00-044) ремонт ограждения здания",275.28,2021.0,"Текущий ремонт зданий, сооружений",209.0,51-01-01-00-00-044
"расчетно-кассовый центр первомайский г.владивосток гу банка россии по приморскому краю с пристройками, приморский край, г.владивосток, калинина, 261 (51-01-01-00-00-044)",157.35,2023.0,"Текущий ремонт зданий, сооружений",209.0,51-01-01-00-00-044
"расчетно-кассовый центр первомайский г.владивосток гу банка россии по приморскому краю с пристройками, приморский край, г.владивосток, калинина, 261 (51-01-01-00-00-044)-прочистка колодца",65.74,2023.0,"Текущий ремонт зданий, сооружений",209.0,51-01-01-00-00-044
"2.нежилое помещение, приморский край, г.владивосток, ул. фонтанная, 19 (51-06-01-00-00-186)",487.66,2022.0,"Текущий ремонт зданий, сооружений",228.0,51-06-01-00-00-186
"нежилое помещение, приморский край, г.владивосток, ул. фонтанная, 19 (51-06-01-00-00-186) - ремонт помещений",449.96,2021.0,"Текущий ремонт зданий, сооружений",228.0,51-06-01-00-00-186
